date,regime_0_prob,regime_1_prob,regime_2_prob
2007-01-31T00:00:00,0.07954672275507037,0.3869506887377647,0.5335025885071651
2007-02-28T00:00:00,0.0557074244542672,0.2862240503121514,0.6580685252335816
2007-03-31T00:00:00,0.09689473940327195,0.7164573257911371,0.18664793480559122
2007-04-30T00:00:00,8.676660201536329e-07,0.9826734412744325,0.017325691059547565
2007-05-31T00:00:00,0.005437143393365192,0.7545945098800044,0.2399683467266308
2007-06-30T00:00:00,0.03909017016084233,0.4730664549250904,0.4878433749140676
2007-07-31T00:00:00,0.06087900595354216,0.3669828158091611,0.572138178237297
2007-08-31T00:00:00,0.03525756750839465,0.3243077832444414,0.6404346492471641
2007-09-30T00:00:00,0.015605831777101472,0.8606576314713905,0.12373653675150828
2007-10-31T00:00:00,0.019363214918348116,0.868627518284702,0.11200926679695017
2007-11-30T00:00:00,0.00046818597609635487,0.8740858202190687,0.1254459938048351
2007-12-31T00:00:00,0.0002586206442987256,0.2074131948069892,0.7923281845487123
2008-01-31T00:00:00,0.004923520407072016,0.21979163845594096,0.7752848411369873
2008-02-29T00:00:00,9.308290831755401e-05,0.954721999004867,0.04518491808681552
2008-03-31T00:00:00,6.268317058577608e-05,0.9765422426068893,0.02339507422252509
2008-04-30T00:00:00,0.004819442468424577,0.877967269177788,0.11721328835378768
2008-05-31T00:00:00,0.0070208608048571465,0.9370638631012187,0.05591527609392423
2008-06-30T00:00:00,5.549623825759521e-05,0.9862189689807691,0.013725534780973526
2008-07-31T00:00:00,1.7298468502891627e-06,0.9884267912861218,0.011571478867028397
2008-08-31T00:00:00,3.210181832032717e-05,0.9322741207031037,0.06769377747857643
2008-09-30T00:00:00,0.0002972896848764528,0.4869491098267815,0.5127536004883424
2008-10-31T00:00:00,9.011660745389176e-06,0.04721774352605794,0.9527732448131971
2008-11-30T00:00:00,0.17524207083065704,0.29700811594102755,0.5277498132283158
2008-12-31T00:00:00,0.12086839786127992,0.7409948522646681,0.13813674987405247
2009-01-31T00:00:00,0.00017481280675793497,0.976626504964502,0.02319868222874072
2009-02-28T00:00:00,0.0033369528889892084,0.8239104023997645,0.17275264471124682
2009-03-31T00:00:00,1.3365460715652546e-08,0.9939865386608621,0.006013447973677684
2009-04-30T00:00:00,2.1021818096930906e-08,0.9671069031470525,0.03289307583112985
2009-05-31T00:00:00,7.72446447628063e-05,0.14201166311226832,0.8579110922429694
2009-06-30T00:00:00,0.3436866005974091,0.2965068823271022,0.35980651707548894
2009-07-31T00:00:00,0.39535672412743816,0.30796942493555957,0.29667385093700244
2009-08-31T00:00:00,0.32213558662101976,0.4158818918736692,0.2619825215053112
2009-09-30T00:00:00,0.02978603559900968,0.9147589371719362,0.05545502722905453
2009-10-31T00:00:00,0.031752957546469146,0.8402459010964372,0.12800114135709403
2009-11-30T00:00:00,8.226443465010772e-06,0.9809225480342174,0.019069225522317865
2009-12-31T00:00:00,0.0031822946811754017,0.7955511738751166,0.20126653144370835
2010-01-31T00:00:00,0.014000031610389901,0.52543045181593,0.4605695165736804
2010-02-28T00:00:00,0.019016502518497222,0.08772563457635976,0.8932578629051433
2010-03-31T00:00:00,0.5240791050881681,0.19018883840418133,0.28573205650765077
2010-04-30T00:00:00,0.621582613138608,0.22750351621827278,0.1509138706431194
2010-05-31T00:00:00,0.5930000487521758,0.2742291751639633,0.13277077608386104
2010-06-30T00:00:00,0.3919327127812925,0.5384560929039541,0.06961119431475354
2010-07-31T00:00:00,0.008640987311092732,0.9318450342096747,0.05951397847923261
2010-08-31T00:00:00,0.005855198810187614,0.3305739201173321,0.6635708810724802
